Challenge,Created_At,Difficulty,20250603_Refact_Agent_claude-4-sonnet,20250610_augment_agent_v1,20250611_moatless_claude-4-sonnet-20250514,20250612_trae,20250616_Skywork-SWE-32B,20250616_Skywork-SWE-32B+TTS_Bo8,20250623_warp,20250627_agentless_MCTS-Refine-7B,20250629_deepswerl_r2eagent,20250629_deepswerl_r2eagent_tts
django__django-14792,2021-08-24T09:25:15Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
django__django-14855,2021-09-14T01:27:01Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-14915,2021-09-29T22:00:15Z,<15 min fix,1,1,1,1,1,1,1,1,0,1
django__django-14999,2021-10-16T09:31:21Z,<15 min fix,1,1,1,0,0,0,0,0,1,1
django__django-15104,2021-11-19T20:46:58Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-15127,2021-11-25T13:14:38Z,<15 min fix,0,1,0,1,0,0,0,0,0,0
django__django-15277,2022-01-03T12:14:06Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-15315,2022-01-13T18:51:58Z,<15 min fix,1,1,1,1,1,1,1,1,1,0
django__django-15368,2022-01-27T13:44:35Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-15380,2022-01-31T19:44:44Z,<15 min fix,1,1,1,1,1,1,1,0,0,1
django__django-15467,2022-02-27T03:00:31Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-15499,2022-03-10T22:32:35Z,<15 min fix,1,1,1,1,1,0,1,1,0,1
django__django-15569,2022-04-08T06:55:17Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-15572,2022-04-09T09:38:31Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-15741,2022-05-28T09:52:42Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-15851,2022-07-18T01:36:33Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-15863,2022-07-20T12:58:04Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-15930,2022-08-07T15:26:41Z,<15 min fix,1,1,1,1,1,0,1,0,0,1
django__django-15987,2022-08-23T10:07:03Z,<15 min fix,0,0,1,1,0,0,0,0,0,1
django__django-16100,2022-09-24T13:32:02Z,<15 min fix,1,1,0,1,1,1,1,0,1,1
django__django-16116,2022-09-25T23:54:49Z,<15 min fix,1,1,1,1,0,1,1,0,1,1
django__django-16139,2022-09-30T08:51:16Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-16145,2022-10-03T05:09:14Z,<15 min fix,1,1,1,1,1,1,0,0,1,1
django__django-16255,2022-11-04T13:49:40Z,<15 min fix,1,1,1,1,0,1,1,1,1,1
django__django-16333,2022-11-27T20:09:15Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-16429,2023-01-05T11:41:37Z,<15 min fix,1,1,1,1,1,1,1,0,0,1
django__django-16569,2023-02-17T20:11:38Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-16595,2023-02-24T10:30:35Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-16642,2023-03-11T07:38:47Z,<15 min fix,1,1,1,1,0,0,1,0,1,1
django__django-16801,2023-04-26T07:23:56Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-16899,2023-05-26T13:41:37Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
django__django-17029,2023-06-29T13:18:26Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
django__django-17087,2023-07-17T20:28:41Z,<15 min fix,1,1,1,1,0,0,1,0,0,1
django__django-9296,2017-10-27T11:10:04Z,<15 min fix,1,1,1,1,0,1,1,0,1,1
matplotlib__matplotlib-13989,2019-04-19T01:47:57Z,<15 min fix,1,1,1,1,0,1,1,1,1,1
matplotlib__matplotlib-20676,2021-07-19T10:10:07Z,<15 min fix,1,0,0,0,0,0,0,0,0,1
matplotlib__matplotlib-20859,2021-08-19T09:03:04Z,<15 min fix,0,1,1,1,0,1,1,0,0,1
matplotlib__matplotlib-22719,2022-03-28T14:42:28Z,<15 min fix,1,1,1,1,1,1,1,1,0,1
matplotlib__matplotlib-23476,2022-07-22T18:58:22Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
matplotlib__matplotlib-24149,2022-10-12T22:00:54Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
matplotlib__matplotlib-24177,2022-10-15T10:52:31Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
matplotlib__matplotlib-24570,2022-11-30T15:50:17Z,<15 min fix,1,1,1,1,0,0,1,1,1,1
matplotlib__matplotlib-25122,2023-02-01T03:41:00Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
matplotlib__matplotlib-25287,2023-02-22T18:19:27Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
matplotlib__matplotlib-25311,2023-02-23T21:04:12Z,<15 min fix,1,1,1,1,0,0,1,0,0,1
matplotlib__matplotlib-25332,2023-02-26T11:18:40Z,<15 min fix,1,1,1,1,0,1,0,0,1,1
matplotlib__matplotlib-25479,2023-03-16T17:59:41Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
matplotlib__matplotlib-26113,2023-06-12T18:56:33Z,<15 min fix,1,1,1,1,1,1,1,1,0,1
matplotlib__matplotlib-26208,2023-06-28T21:31:50Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
pallets__flask-5014,2023-03-04T18:36:21Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
psf__requests-1142,2013-01-25T05:19:16Z,<15 min fix,1,1,1,1,0,0,1,0,0,1
psf__requests-1724,2013-11-04T09:37:00Z,<15 min fix,1,0,1,1,1,1,1,1,1,1
psf__requests-1766,2013-11-29T08:38:09Z,<15 min fix,1,1,1,1,1,0,0,1,1,1
psf__requests-1921,2014-02-14T22:15:56Z,<15 min fix,1,0,1,0,1,1,1,0,0,0
psf__requests-2317,2014-11-01T02:20:16Z,<15 min fix,1,1,1,0,1,0,1,0,1,1
psf__requests-5414,2020-04-05T16:52:04Z,<15 min fix,1,1,0,0,0,1,1,0,0,0
pydata__xarray-4075,2020-05-18T18:42:05Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
pydata__xarray-4094,2020-05-26T00:36:02Z,<15 min fix,1,0,1,1,0,1,1,1,0,1
pydata__xarray-4356,2020-08-19T23:48:49Z,<15 min fix,1,1,1,1,0,1,1,0,1,1
pydata__xarray-4629,2020-11-30T23:06:17Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
pydata__xarray-6461,2022-04-09T03:02:40Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
pylint-dev__pylint-4970,2021-09-05T19:44:07Z,<15 min fix,0,1,0,0,1,1,0,0,0,0
pylint-dev__pylint-6903,2022-06-09T19:43:36Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
pylint-dev__pylint-7277,2022-08-08T23:07:49Z,<15 min fix,1,1,1,0,0,1,1,0,1,1
pytest-dev__pytest-10081,2022-06-26T13:53:24Z,<15 min fix,1,1,1,1,0,0,0,1,0,1
pytest-dev__pytest-5262,2019-05-14T21:54:55Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
pytest-dev__pytest-5809,2019-09-01T04:40:09Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
pytest-dev__pytest-6202,2019-11-16T07:45:21Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
pytest-dev__pytest-7205,2020-05-09T11:25:58Z,<15 min fix,0,1,1,1,1,1,1,0,1,0
pytest-dev__pytest-7432,2020-06-29T21:51:15Z,<15 min fix,1,1,1,1,0,0,1,1,0,1
pytest-dev__pytest-7521,2020-07-20T15:55:11Z,<15 min fix,1,1,1,1,1,0,1,1,1,1
pytest-dev__pytest-7982,2020-10-31T12:27:03Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-11310,2018-06-18T12:10:19Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
scikit-learn__scikit-learn-12585,2018-11-14T13:20:30Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-13135,2019-02-11T21:34:25Z,<15 min fix,1,1,1,1,0,1,1,1,1,1
scikit-learn__scikit-learn-13142,2019-02-12T14:32:37Z,<15 min fix,1,1,1,1,0,1,1,0,1,1
scikit-learn__scikit-learn-13328,2019-02-28T12:47:52Z,<15 min fix,1,1,1,1,0,1,1,1,1,1
scikit-learn__scikit-learn-13439,2019-03-12T20:32:50Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
scikit-learn__scikit-learn-13496,2019-03-23T09:46:59Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
scikit-learn__scikit-learn-13779,2019-05-03T13:24:57Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-14141,2019-06-21T20:53:37Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-14496,2019-07-28T13:47:05Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-14983,2019-09-14T15:31:18Z,<15 min fix,1,1,0,1,0,0,0,0,0,0
scikit-learn__scikit-learn-25232,2022-12-24T15:32:44Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
scikit-learn__scikit-learn-25973,2023-03-25T13:27:07Z,<15 min fix,1,1,1,1,0,1,1,0,1,1
sphinx-doc__sphinx-10323,2022-04-02T14:42:24Z,<15 min fix,1,0,0,1,1,0,1,1,1,1
sphinx-doc__sphinx-10435,2022-05-08T09:37:06Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-10449,2022-05-14T14:02:26Z,<15 min fix,1,1,1,1,0,0,1,0,1,1
sphinx-doc__sphinx-7440,2020-04-08T13:46:43Z,<15 min fix,1,0,1,1,0,1,1,1,0,1
sphinx-doc__sphinx-7454,2020-04-09T17:08:30Z,<15 min fix,1,0,1,0,0,0,1,0,0,0
sphinx-doc__sphinx-7462,2020-04-12T04:10:05Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-7889,2020-06-29T16:20:55Z,<15 min fix,1,1,1,1,0,0,1,0,0,1
sphinx-doc__sphinx-7910,2020-07-04T01:08:20Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
sphinx-doc__sphinx-8269,2020-10-03T11:08:37Z,<15 min fix,1,1,1,1,1,0,1,1,1,1
sphinx-doc__sphinx-8459,2020-11-20T16:44:10Z,<15 min fix,1,1,1,1,0,1,1,0,0,1
sphinx-doc__sphinx-8475,2020-11-22T16:54:19Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
sphinx-doc__sphinx-8595,2020-12-27T03:07:50Z,<15 min fix,1,0,1,1,1,0,1,1,1,1
sphinx-doc__sphinx-8621,2020-12-30T12:13:09Z,<15 min fix,0,1,1,1,0,0,1,1,0,1
sphinx-doc__sphinx-8721,2021-01-21T15:36:24Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
sphinx-doc__sphinx-9230,2021-05-15T11:33:05Z,<15 min fix,1,1,1,1,0,0,1,0,0,0
sphinx-doc__sphinx-9258,2021-05-21T16:56:41Z,<15 min fix,1,1,0,1,0,0,1,0,0,0
sphinx-doc__sphinx-9281,2021-05-29T17:16:30Z,<15 min fix,1,1,1,1,0,1,1,0,1,0
sphinx-doc__sphinx-9320,2021-06-11T13:29:04Z,<15 min fix,1,1,1,1,1,1,1,1,0,1
sphinx-doc__sphinx-9367,2021-06-20T17:49:40Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
sphinx-doc__sphinx-9591,2021-08-29T15:26:24Z,<15 min fix,1,1,0,1,0,0,0,0,0,0
sphinx-doc__sphinx-9698,2021-10-03T04:04:04Z,<15 min fix,1,1,1,1,1,0,1,0,1,1
sphinx-doc__sphinx-9711,2021-10-06T15:08:03Z,<15 min fix,1,0,1,1,1,1,1,0,0,1
sympy__sympy-12096,2017-01-25T13:40:24Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
sympy__sympy-12481,2017-04-03T01:52:33Z,<15 min fix,1,1,1,1,0,0,1,1,1,1
sympy__sympy-13372,2017-09-30T16:05:48Z,<15 min fix,1,1,1,1,1,0,1,0,1,1
sympy__sympy-13480,2017-10-18T17:27:03Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
sympy__sympy-14711,2018-05-12T17:00:20Z,<15 min fix,1,1,1,1,0,1,1,0,1,1
sympy__sympy-15017,2018-08-03T03:15:04Z,<15 min fix,0,1,0,1,0,1,0,0,0,1
sympy__sympy-15345,2018-10-05T06:00:31Z,<15 min fix,1,1,1,1,0,0,1,0,0,0
sympy__sympy-15809,2019-01-20T06:08:26Z,<15 min fix,1,1,1,1,0,0,1,0,1,0
sympy__sympy-15875,2019-01-29T03:18:51Z,<15 min fix,1,1,1,1,1,0,1,0,0,1
sympy__sympy-16450,2019-03-26T18:00:02Z,<15 min fix,1,1,1,1,0,0,1,0,0,1
sympy__sympy-16766,2019-05-01T22:02:17Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
sympy__sympy-16886,2019-05-25T05:55:25Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
sympy__sympy-17139,2019-07-01T19:17:18Z,<15 min fix,1,1,1,1,1,1,1,1,0,0
sympy__sympy-17655,2019-09-25T17:04:26Z,<15 min fix,1,1,1,1,0,0,1,0,0,0
sympy__sympy-18189,2019-12-31T15:45:24Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
sympy__sympy-18763,2020-03-03T03:40:06Z,<15 min fix,1,0,0,1,1,1,0,0,0,1
sympy__sympy-19495,2020-06-05T11:53:09Z,<15 min fix,1,1,0,1,1,1,0,0,0,1
sympy__sympy-19637,2020-06-24T13:08:57Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
sympy__sympy-19954,2020-08-12T06:07:32Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
sympy__sympy-20916,2021-02-06T05:44:34Z,<15 min fix,0,0,0,0,0,0,0,0,0,0
sympy__sympy-21847,2021-08-10T17:41:59Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
sympy__sympy-22714,2021-12-19T18:54:36Z,<15 min fix,1,1,1,1,0,1,1,0,1,1
sympy__sympy-23534,2022-05-22T00:12:33Z,<15 min fix,1,1,1,1,1,1,1,1,1,1
sympy__sympy-24539,2023-01-17T17:26:42Z,<15 min fix,1,1,1,1,1,1,1,0,1,1
sympy__sympy-24562,2023-01-21T12:06:36Z,<15 min fix,1,1,1,1,0,1,1,0,0,1
