instance_id,created_at,difficulty
django__django-11477,2019-06-14T17:40:45Z,15 min - 1 hour
django__django-11490,2019-06-19T07:47:46Z,<15 min fix
django__django-11532,2019-07-02T10:29:28Z,15 min - 1 hour
django__django-11551,2019-07-09T22:28:45Z,15 min - 1 hour
django__django-11555,2019-07-10T18:07:07Z,<15 min fix
django__django-11603,2019-07-28T18:14:23Z,<15 min fix
django__django-11728,2019-08-29T17:31:03Z,15 min - 1 hour
django__django-11734,2019-09-01T18:46:50Z,15 min - 1 hour
django__django-11740,2019-09-03T10:44:38Z,15 min - 1 hour
django__django-11749,2019-09-05T21:47:44Z,15 min - 1 hour
django__django-11790,2019-09-17T14:33:44Z,15 min - 1 hour
django__django-11815,2019-09-24T21:45:36Z,15 min - 1 hour
django__django-11820,2019-09-26T08:37:14Z,<15 min fix
django__django-11848,2019-09-28T04:28:22Z,15 min - 1 hour
django__django-11880,2019-10-07T19:10:59Z,<15 min fix
django__django-11885,2019-10-08T15:22:07Z,1-4 hours
django__django-11951,2019-10-21T09:35:46Z,<15 min fix
django__django-11964,2019-10-23T14:16:45Z,<15 min fix
django__django-11999,2019-10-31T10:39:18Z,15 min - 1 hour
django__django-12039,2019-11-06T21:14:34Z,15 min - 1 hour
django__django-12050,2019-11-10T08:53:45Z,15 min - 1 hour
django__django-12125,2019-11-22T12:55:45Z,<15 min fix
django__django-12143,2019-11-25T14:38:30Z,15 min - 1 hour
django__django-12155,2019-11-28T16:24:23Z,15 min - 1 hour
django__django-12193,2019-12-08T01:38:25Z,<15 min fix
django__django-12209,2019-12-12T04:11:05Z,<15 min fix
django__django-12262,2019-12-30T13:13:59Z,15 min - 1 hour
django__django-12273,2020-01-03T18:47:56Z,15 min - 1 hour
django__django-12276,2020-01-05T08:04:40Z,<15 min fix
django__django-12304,2020-01-09T15:43:51Z,<15 min fix
django__django-12308,2020-01-12T04:21:15Z,<15 min fix
django__django-12325,2020-01-15T14:02:25Z,1-4 hours
django__django-12406,2020-02-02T16:34:05Z,15 min - 1 hour
django__django-12419,2020-02-05T10:02:56Z,<15 min fix
django__django-12663,2020-04-04T18:58:49Z,15 min - 1 hour
django__django-12708,2020-04-12T22:20:59Z,1-4 hours
django__django-12713,2020-04-13T23:57:12Z,15 min - 1 hour
django__django-12741,2020-04-17T22:35:55Z,<15 min fix
django__django-12754,2020-04-19T10:59:30Z,15 min - 1 hour
django__django-12774,2020-04-22T11:02:30Z,15 min - 1 hour
django__django-12858,2020-05-05T04:49:02Z,15 min - 1 hour
django__django-12965,2020-05-24T13:20:03Z,15 min - 1 hour
django__django-13012,2020-06-02T21:19:37Z,15 min - 1 hour
django__django-13023,2020-06-04T20:40:44Z,<15 min fix
django__django-13028,2020-06-05T19:49:04Z,15 min - 1 hour
django__django-13033,2020-06-07T14:52:19Z,15 min - 1 hour
django__django-13089,2020-06-20T07:36:10Z,<15 min fix
django__django-13109,2020-06-25T08:36:45Z,<15 min fix
django__django-13112,2020-06-26T04:51:38Z,<15 min fix
django__django-13121,2020-06-29T09:04:15Z,15 min - 1 hour
django__django-13128,2020-06-30T18:06:56Z,1-4 hours
django__django-13158,2020-07-06T19:18:11Z,15 min - 1 hour
django__django-13195,2020-07-15T11:00:07Z,15 min - 1 hour
django__django-13212,2020-07-21T02:53:58Z,1-4 hours
django__django-13279,2020-08-07T05:15:16Z,15 min - 1 hour
django__django-13297,2020-08-12T11:20:33Z,<15 min fix
django__django-13315,2020-08-17T04:24:39Z,15 min - 1 hour
django__django-13343,2020-08-24T19:29:12Z,15 min - 1 hour
django__django-13344,2020-08-24T20:50:35Z,1-4 hours
django__django-13346,2020-08-25T06:25:31Z,15 min - 1 hour
django__django-13363,2020-08-29T18:59:41Z,<15 min fix
django__django-13401,2020-09-09T11:19:00Z,15 min - 1 hour
django__django-13406,2020-09-10T12:38:11Z,<15 min fix
django__django-13410,2020-09-11T09:58:41Z,<15 min fix
django__django-13417,2020-09-14T07:49:15Z,<15 min fix
django__django-13449,2020-09-22T13:04:03Z,1-4 hours
django__django-13512,2020-10-08T13:52:57Z,<15 min fix
django__django-13513,2020-10-08T14:07:33Z,15 min - 1 hour
django__django-13516,2020-10-08T19:00:01Z,15 min - 1 hour
django__django-13551,2020-10-17T17:22:01Z,<15 min fix
django__django-13568,2020-10-19T15:20:08Z,15 min - 1 hour
django__django-13569,2020-10-19T21:20:55Z,15 min - 1 hour
django__django-13590,2020-10-23T09:34:55Z,15 min - 1 hour
django__django-13658,2020-11-09T20:50:28Z,15 min - 1 hour
django__django-13670,2020-11-12T11:45:51Z,15 min - 1 hour
django__django-13741,2020-12-02T10:52:52Z,<15 min fix
django__django-13786,2020-12-17T21:10:10Z,15 min - 1 hour
django__django-13794,2020-12-19T20:09:34Z,<15 min fix
django__django-13807,2020-12-23T21:09:32Z,<15 min fix
django__django-13809,2020-12-24T15:31:35Z,15 min - 1 hour
django__django-13810,2020-12-26T12:31:18Z,15 min - 1 hour
django__django-13820,2020-12-28T22:07:57Z,15 min - 1 hour
django__django-13821,2020-12-29T15:16:10Z,<15 min fix
django__django-13837,2021-01-04T17:44:23Z,1-4 hours
django__django-13925,2021-01-21T08:08:55Z,15 min - 1 hour
django__django-13933,2021-01-26T03:58:23Z,<15 min fix
django__django-13964,2021-02-02T17:07:43Z,15 min - 1 hour
django__django-14007,2021-02-13T09:00:02Z,1-4 hours
django__django-14011,2021-02-15T06:15:21Z,1-4 hours
django__django-14017,2021-02-18T13:05:27Z,15 min - 1 hour
django__django-14034,2021-02-22T19:32:50Z,15 min - 1 hour
django__django-14053,2021-02-25T23:57:27Z,15 min - 1 hour
django__django-14089,2021-03-06T20:51:08Z,<15 min fix
django__django-14122,2021-03-13T19:57:16Z,15 min - 1 hour
django__django-14140,2021-03-17T11:37:55Z,15 min - 1 hour
django__django-14155,2021-03-19T15:44:25Z,15 min - 1 hour
django__django-14170,2021-03-23T08:53:41Z,15 min - 1 hour
django__django-14238,2021-04-08T10:41:31Z,15 min - 1 hour
django__django-14311,2021-04-25T02:54:34Z,15 min - 1 hour
django__django-14315,2021-04-26T12:39:01Z,<15 min fix
django__django-14349,2021-05-04T20:10:27Z,15 min - 1 hour
django__django-14351,2021-05-05T03:50:44Z,15 min - 1 hour
django__django-14373,2021-05-10T14:40:32Z,<15 min fix
django__django-14376,2021-05-10T20:42:18Z,<15 min fix
django__django-14404,2021-05-17T11:24:06Z,<15 min fix
django__django-14434,2021-05-23T12:27:14Z,15 min - 1 hour
django__django-14493,2021-06-05T12:50:25Z,<15 min fix
django__django-14500,2021-06-08T05:08:08Z,15 min - 1 hour
django__django-14534,2021-06-17T15:37:34Z,<15 min fix
django__django-14539,2021-06-19T11:31:16Z,<15 min fix
django__django-14559,2021-06-26T05:38:46Z,15 min - 1 hour
django__django-14580,2021-07-01T07:38:03Z,<15 min fix
django__django-14608,2021-07-07T19:51:30Z,<15 min fix
django__django-14631,2021-07-13T09:16:48Z,1-4 hours
django__django-14672,2021-07-20T10:47:34Z,15 min - 1 hour
django__django-14725,2021-08-01T21:24:36Z,15 min - 1 hour
django__django-14752,2021-08-07T16:34:32Z,<15 min fix
django__django-14765,2021-08-12T05:59:11Z,<15 min fix
django__django-14771,2021-08-15T07:26:17Z,15 min - 1 hour
django__django-14787,2021-08-23T12:59:59Z,<15 min fix
django__django-14792,2021-08-24T09:25:15Z,<15 min fix
django__django-14855,2021-09-14T01:27:01Z,<15 min fix
django__django-14915,2021-09-29T22:00:15Z,<15 min fix
django__django-14999,2021-10-16T09:31:21Z,<15 min fix
django__django-15022,2021-10-24T17:48:28Z,15 min - 1 hour
django__django-15037,2021-10-30T15:21:38Z,15 min - 1 hour
django__django-15098,2021-11-17T21:30:07Z,15 min - 1 hour
django__django-15103,2021-11-19T15:57:54Z,15 min - 1 hour
django__django-15104,2021-11-19T20:46:58Z,<15 min fix
django__django-15127,2021-11-25T13:14:38Z,<15 min fix
django__django-15128,2021-11-25T15:50:24Z,1-4 hours
django__django-15161,2021-12-06T09:06:13Z,15 min - 1 hour
django__django-15252,2021-12-28T15:51:06Z,15 min - 1 hour
django__django-15268,2022-01-01T09:57:13Z,1-4 hours
django__django-15277,2022-01-03T12:14:06Z,<15 min fix
django__django-15278,2022-01-03T20:01:32Z,15 min - 1 hour
django__django-15280,2022-01-04T11:16:35Z,15 min - 1 hour
django__django-15315,2022-01-13T18:51:58Z,<15 min fix
django__django-15368,2022-01-27T13:44:35Z,<15 min fix
django__django-15375,2022-01-28T14:48:03Z,15 min - 1 hour
django__django-15380,2022-01-31T19:44:44Z,<15 min fix
django__django-15382,2022-02-01T18:29:41Z,15 min - 1 hour
django__django-15467,2022-02-27T03:00:31Z,<15 min fix
django__django-15499,2022-03-10T22:32:35Z,<15 min fix
django__django-15503,2022-03-12T06:22:37Z,1-4 hours
django__django-15525,2022-03-18T10:39:26Z,15 min - 1 hour
django__django-15554,2022-03-29T10:12:46Z,15 min - 1 hour
django__django-15561,2022-04-01T18:29:04Z,15 min - 1 hour
django__django-15563,2022-04-06T02:48:01Z,15 min - 1 hour
django__django-15569,2022-04-08T06:55:17Z,<15 min fix
django__django-15572,2022-04-09T09:38:31Z,<15 min fix
django__django-15629,2022-04-23T21:58:24Z,1-4 hours
django__django-15695,2022-05-16T07:58:51Z,15 min - 1 hour
django__django-15731,2022-05-24T12:30:05Z,15 min - 1 hour
django__django-15732,2022-05-24T12:58:31Z,15 min - 1 hour
django__django-15741,2022-05-28T09:52:42Z,<15 min fix
django__django-15814,2022-07-03T19:10:56Z,15 min - 1 hour
django__django-15851,2022-07-18T01:36:33Z,<15 min fix
django__django-15863,2022-07-20T12:58:04Z,<15 min fix
django__django-15916,2022-08-04T18:59:18Z,15 min - 1 hour
django__django-15930,2022-08-07T15:26:41Z,<15 min fix
django__django-15957,2022-08-13T06:18:25Z,1-4 hours
django__django-15973,2022-08-19T18:10:02Z,15 min - 1 hour
django__django-15987,2022-08-23T10:07:03Z,<15 min fix
django__django-16032,2022-09-06T09:54:57Z,15 min - 1 hour
django__django-16082,2022-09-21T18:49:40Z,15 min - 1 hour
django__django-16100,2022-09-24T13:32:02Z,<15 min fix
django__django-16116,2022-09-25T23:54:49Z,<15 min fix
django__django-16136,2022-09-29T11:47:50Z,15 min - 1 hour
django__django-16139,2022-09-30T08:51:16Z,<15 min fix
django__django-16145,2022-10-03T05:09:14Z,<15 min fix
django__django-16255,2022-11-04T13:49:40Z,<15 min fix
django__django-16256,2022-11-04T14:26:44Z,15 min - 1 hour
django__django-16263,2022-11-06T07:38:18Z,1-4 hours
django__django-16315,2022-11-22T09:44:54Z,15 min - 1 hour
django__django-16333,2022-11-27T20:09:15Z,<15 min fix
django__django-16429,2023-01-05T11:41:37Z,<15 min fix
django__django-16454,2023-01-15T09:23:24Z,15 min - 1 hour
django__django-16485,2023-01-18T22:03:52Z,15 min - 1 hour
django__django-16493,2023-01-20T18:29:25Z,15 min - 1 hour
django__django-16502,2023-01-26T09:21:31Z,15 min - 1 hour
django__django-16527,2023-02-05T22:05:00Z,15 min - 1 hour
django__django-16560,2023-02-16T10:45:56Z,1-4 hours
django__django-16569,2023-02-17T20:11:38Z,<15 min fix
django__django-16595,2023-02-24T10:30:35Z,<15 min fix
django__django-16612,2023-03-02T19:06:12Z,15 min - 1 hour
django__django-16631,2023-03-06T15:19:52Z,1-4 hours
django__django-16642,2023-03-11T07:38:47Z,<15 min fix
django__django-16661,2023-03-18T09:26:58Z,15 min - 1 hour
django__django-16662,2023-03-18T18:07:18Z,15 min - 1 hour
django__django-16667,2023-03-20T21:32:53Z,15 min - 1 hour
django__django-16801,2023-04-26T07:23:56Z,<15 min fix
django__django-16819,2023-05-01T15:20:04Z,15 min - 1 hour
django__django-16877,2023-05-19T23:11:10Z,15 min - 1 hour
django__django-16899,2023-05-26T13:41:37Z,<15 min fix
django__django-16901,2023-05-30T05:08:34Z,15 min - 1 hour
django__django-16938,2023-06-03T11:18:11Z,15 min - 1 hour
django__django-16950,2023-06-06T19:58:48Z,15 min - 1 hour
django__django-17029,2023-06-29T13:18:26Z,<15 min fix
django__django-17084,2023-07-17T16:54:19Z,15 min - 1 hour
django__django-17087,2023-07-17T20:28:41Z,<15 min fix
django__django-7530,2016-11-08T17:27:19Z,15 min - 1 hour
django__django-9296,2017-10-27T11:10:04Z,<15 min fix
matplotlib__matplotlib-13989,2019-04-19T01:47:57Z,<15 min fix
matplotlib__matplotlib-14623,2019-06-25T14:01:17Z,15 min - 1 hour
matplotlib__matplotlib-20488,2021-06-23T03:05:05Z,15 min - 1 hour
matplotlib__matplotlib-20676,2021-07-19T10:10:07Z,<15 min fix
matplotlib__matplotlib-20826,2021-08-11T06:23:50Z,15 min - 1 hour
matplotlib__matplotlib-20859,2021-08-19T09:03:04Z,<15 min fix
matplotlib__matplotlib-21568,2021-11-08T18:41:08Z,15 min - 1 hour
matplotlib__matplotlib-22719,2022-03-28T14:42:28Z,<15 min fix
matplotlib__matplotlib-22865,2022-04-20T15:15:11Z,15 min - 1 hour
matplotlib__matplotlib-22871,2022-04-21T13:10:50Z,15 min - 1 hour
matplotlib__matplotlib-23299,2022-06-18T01:34:39Z,15 min - 1 hour
matplotlib__matplotlib-23314,2022-06-21T02:41:34Z,15 min - 1 hour
matplotlib__matplotlib-23412,2022-07-11T01:41:11Z,15 min - 1 hour
matplotlib__matplotlib-23476,2022-07-22T18:58:22Z,<15 min fix
matplotlib__matplotlib-24026,2022-09-28T02:45:01Z,15 min - 1 hour
matplotlib__matplotlib-24149,2022-10-12T22:00:54Z,<15 min fix
matplotlib__matplotlib-24177,2022-10-15T10:52:31Z,<15 min fix
matplotlib__matplotlib-24570,2022-11-30T15:50:17Z,<15 min fix
matplotlib__matplotlib-24627,2022-12-05T00:05:54Z,15 min - 1 hour
matplotlib__matplotlib-24637,2022-12-06T03:42:05Z,15 min - 1 hour
matplotlib__matplotlib-24870,2023-01-02T20:37:49Z,15 min - 1 hour
matplotlib__matplotlib-24970,2023-01-13T14:23:39Z,15 min - 1 hour
matplotlib__matplotlib-25122,2023-02-01T03:41:00Z,<15 min fix
matplotlib__matplotlib-25287,2023-02-22T18:19:27Z,<15 min fix
matplotlib__matplotlib-25311,2023-02-23T21:04:12Z,<15 min fix
matplotlib__matplotlib-25332,2023-02-26T11:18:40Z,<15 min fix
matplotlib__matplotlib-25479,2023-03-16T17:59:41Z,<15 min fix
matplotlib__matplotlib-25775,2023-04-26T21:26:46Z,15 min - 1 hour
matplotlib__matplotlib-25960,2023-05-23T21:58:53Z,15 min - 1 hour
matplotlib__matplotlib-26113,2023-06-12T18:56:33Z,<15 min fix
matplotlib__matplotlib-26208,2023-06-28T21:31:50Z,<15 min fix
matplotlib__matplotlib-26291,2023-07-12T04:29:07Z,15 min - 1 hour
matplotlib__matplotlib-26342,2023-07-18T10:06:19Z,15 min - 1 hour
matplotlib__matplotlib-26466,2023-08-07T19:30:22Z,15 min - 1 hour
mwaskom__seaborn-3069,2022-10-09T23:31:20Z,15 min - 1 hour
mwaskom__seaborn-3187,2022-12-18T00:04:22Z,15 min - 1 hour
pallets__flask-5014,2023-03-04T18:36:21Z,<15 min fix
psf__requests-1142,2013-01-25T05:19:16Z,<15 min fix
psf__requests-1724,2013-11-04T09:37:00Z,<15 min fix
psf__requests-1766,2013-11-29T08:38:09Z,<15 min fix
psf__requests-1921,2014-02-14T22:15:56Z,<15 min fix
psf__requests-2317,2014-11-01T02:20:16Z,<15 min fix
psf__requests-2931,2015-12-16T14:57:00Z,15 min - 1 hour
psf__requests-5414,2020-04-05T16:52:04Z,<15 min fix
psf__requests-6028,2022-01-04T15:32:52Z,15 min - 1 hour
pydata__xarray-2905,2019-04-17T21:52:37Z,15 min - 1 hour
pydata__xarray-3095,2019-07-11T13:16:16Z,15 min - 1 hour
pydata__xarray-3151,2019-07-20T12:31:14Z,15 min - 1 hour
pydata__xarray-3305,2019-09-12T19:27:14Z,15 min - 1 hour
pydata__xarray-3677,2020-01-09T16:07:14Z,15 min - 1 hour
pydata__xarray-3993,2020-04-21T20:30:35Z,1-4 hours
pydata__xarray-4075,2020-05-18T18:42:05Z,<15 min fix
pydata__xarray-4094,2020-05-26T00:36:02Z,<15 min fix
pydata__xarray-4356,2020-08-19T23:48:49Z,<15 min fix
pydata__xarray-4629,2020-11-30T23:06:17Z,<15 min fix
pydata__xarray-4687,2020-12-13T20:42:40Z,15 min - 1 hour
pydata__xarray-4695,2020-12-15T00:30:04Z,15 min - 1 hour
pydata__xarray-4966,2021-02-26T12:05:51Z,15 min - 1 hour
pydata__xarray-6461,2022-04-09T03:02:40Z,<15 min fix
pydata__xarray-6599,2022-05-12T15:12:41Z,15 min - 1 hour
pydata__xarray-6721,2022-06-24T18:45:45Z,15 min - 1 hour
pydata__xarray-6744,2022-07-02T16:36:00Z,15 min - 1 hour
pydata__xarray-6938,2022-08-20T16:45:22Z,15 min - 1 hour
pydata__xarray-6992,2022-09-05T15:07:43Z,>4 hours
pydata__xarray-7229,2022-10-26T21:45:01Z,15 min - 1 hour
pydata__xarray-7233,2022-10-27T23:46:49Z,15 min - 1 hour
pydata__xarray-7393,2022-12-20T04:34:24Z,15 min - 1 hour
pylint-dev__pylint-4551,2021-06-07T15:14:31Z,1-4 hours
pylint-dev__pylint-4604,2021-06-22T10:44:14Z,15 min - 1 hour
pylint-dev__pylint-4661,2021-07-03T00:57:06Z,15 min - 1 hour
pylint-dev__pylint-4970,2021-09-05T19:44:07Z,<15 min fix
pylint-dev__pylint-6386,2022-04-19T06:34:57Z,15 min - 1 hour
pylint-dev__pylint-6528,2022-05-06T21:03:37Z,15 min - 1 hour
pylint-dev__pylint-6903,2022-06-09T19:43:36Z,<15 min fix
pylint-dev__pylint-7080,2022-06-28T17:24:43Z,15 min - 1 hour
pylint-dev__pylint-7277,2022-08-08T23:07:49Z,<15 min fix
pylint-dev__pylint-8898,2023-07-29T21:53:59Z,1-4 hours
pytest-dev__pytest-10051,2022-06-15T17:39:53Z,15 min - 1 hour
pytest-dev__pytest-10081,2022-06-26T13:53:24Z,<15 min fix
pytest-dev__pytest-10356,2022-10-08T06:20:42Z,1-4 hours
pytest-dev__pytest-5262,2019-05-14T21:54:55Z,<15 min fix
pytest-dev__pytest-5631,2019-07-19T20:13:12Z,15 min - 1 hour
pytest-dev__pytest-5787,2019-08-26T16:43:31Z,1-4 hours
pytest-dev__pytest-5809,2019-09-01T04:40:09Z,<15 min fix
pytest-dev__pytest-5840,2019-09-12T01:09:28Z,15 min - 1 hour
pytest-dev__pytest-6197,2019-11-15T16:37:22Z,1-4 hours
pytest-dev__pytest-6202,2019-11-16T07:45:21Z,<15 min fix
pytest-dev__pytest-7205,2020-05-09T11:25:58Z,<15 min fix
pytest-dev__pytest-7236,2020-05-21T19:53:14Z,15 min - 1 hour
pytest-dev__pytest-7324,2020-06-05T13:00:07Z,15 min - 1 hour
pytest-dev__pytest-7432,2020-06-29T21:51:15Z,<15 min fix
pytest-dev__pytest-7490,2020-07-13T22:20:10Z,15 min - 1 hour
pytest-dev__pytest-7521,2020-07-20T15:55:11Z,<15 min fix
pytest-dev__pytest-7571,2020-07-29T12:00:47Z,15 min - 1 hour
pytest-dev__pytest-7982,2020-10-31T12:27:03Z,<15 min fix
pytest-dev__pytest-8399,2021-03-04T17:52:17Z,15 min - 1 hour
scikit-learn__scikit-learn-10297,2017-12-12T22:07:47Z,15 min - 1 hour
scikit-learn__scikit-learn-10844,2018-03-21T00:16:18Z,15 min - 1 hour
scikit-learn__scikit-learn-10908,2018-04-03T03:50:46Z,15 min - 1 hour
scikit-learn__scikit-learn-11310,2018-06-18T12:10:19Z,<15 min fix
scikit-learn__scikit-learn-11578,2018-07-16T23:21:56Z,15 min - 1 hour
scikit-learn__scikit-learn-12585,2018-11-14T13:20:30Z,<15 min fix
scikit-learn__scikit-learn-12682,2018-11-27T08:30:51Z,15 min - 1 hour
scikit-learn__scikit-learn-12973,2019-01-13T16:19:52Z,15 min - 1 hour
scikit-learn__scikit-learn-13124,2019-02-09T02:15:23Z,15 min - 1 hour
scikit-learn__scikit-learn-13135,2019-02-11T21:34:25Z,<15 min fix
scikit-learn__scikit-learn-13142,2019-02-12T14:32:37Z,<15 min fix
scikit-learn__scikit-learn-13328,2019-02-28T12:47:52Z,<15 min fix
scikit-learn__scikit-learn-13439,2019-03-12T20:32:50Z,<15 min fix
scikit-learn__scikit-learn-13496,2019-03-23T09:46:59Z,<15 min fix
scikit-learn__scikit-learn-13779,2019-05-03T13:24:57Z,<15 min fix
scikit-learn__scikit-learn-14053,2019-06-09T15:36:55Z,15 min - 1 hour
scikit-learn__scikit-learn-14087,2019-06-13T20:09:22Z,15 min - 1 hour
scikit-learn__scikit-learn-14141,2019-06-21T20:53:37Z,<15 min fix
scikit-learn__scikit-learn-14496,2019-07-28T13:47:05Z,<15 min fix
scikit-learn__scikit-learn-14629,2019-08-12T09:31:54Z,15 min - 1 hour
scikit-learn__scikit-learn-14710,2019-08-21T16:29:47Z,15 min - 1 hour
scikit-learn__scikit-learn-14894,2019-09-05T17:41:11Z,15 min - 1 hour
scikit-learn__scikit-learn-14983,2019-09-14T15:31:18Z,<15 min fix
scikit-learn__scikit-learn-15100,2019-09-26T19:21:38Z,15 min - 1 hour
scikit-learn__scikit-learn-25102,2022-12-02T20:03:37Z,1-4 hours
scikit-learn__scikit-learn-25232,2022-12-24T15:32:44Z,<15 min fix
scikit-learn__scikit-learn-25747,2023-03-02T20:38:47Z,15 min - 1 hour
scikit-learn__scikit-learn-25931,2023-03-22T00:34:47Z,15 min - 1 hour
scikit-learn__scikit-learn-25973,2023-03-25T13:27:07Z,<15 min fix
scikit-learn__scikit-learn-26194,2023-04-17T16:33:08Z,15 min - 1 hour
scikit-learn__scikit-learn-26323,2023-05-04T11:55:50Z,15 min - 1 hour
scikit-learn__scikit-learn-9288,2017-07-06T11:03:14Z,15 min - 1 hour
sphinx-doc__sphinx-10323,2022-04-02T14:42:24Z,<15 min fix
sphinx-doc__sphinx-10435,2022-05-08T09:37:06Z,<15 min fix
sphinx-doc__sphinx-10449,2022-05-14T14:02:26Z,<15 min fix
sphinx-doc__sphinx-10466,2022-05-22T16:46:53Z,15 min - 1 hour
sphinx-doc__sphinx-10614,2022-06-29T14:29:04Z,15 min - 1 hour
sphinx-doc__sphinx-10673,2022-07-16T19:29:29Z,15 min - 1 hour
sphinx-doc__sphinx-11445,2023-05-28T19:15:07Z,15 min - 1 hour
sphinx-doc__sphinx-11510,2023-07-24T22:46:12Z,1-4 hours
sphinx-doc__sphinx-7440,2020-04-08T13:46:43Z,<15 min fix
sphinx-doc__sphinx-7454,2020-04-09T17:08:30Z,<15 min fix
sphinx-doc__sphinx-7462,2020-04-12T04:10:05Z,<15 min fix
sphinx-doc__sphinx-7590,2020-05-01T18:29:11Z,>4 hours
sphinx-doc__sphinx-7748,2020-05-30T06:41:07Z,15 min - 1 hour
sphinx-doc__sphinx-7757,2020-05-30T14:46:01Z,15 min - 1 hour
sphinx-doc__sphinx-7889,2020-06-29T16:20:55Z,<15 min fix
sphinx-doc__sphinx-7910,2020-07-04T01:08:20Z,<15 min fix
sphinx-doc__sphinx-7985,2020-07-19T10:09:07Z,15 min - 1 hour
sphinx-doc__sphinx-8035,2020-08-01T16:28:05Z,15 min - 1 hour
sphinx-doc__sphinx-8056,2020-08-05T17:18:58Z,15 min - 1 hour
sphinx-doc__sphinx-8120,2020-08-14T07:23:34Z,15 min - 1 hour
sphinx-doc__sphinx-8265,2020-10-03T03:06:00Z,15 min - 1 hour
sphinx-doc__sphinx-8269,2020-10-03T11:08:37Z,<15 min fix
sphinx-doc__sphinx-8459,2020-11-20T16:44:10Z,<15 min fix
sphinx-doc__sphinx-8475,2020-11-22T16:54:19Z,<15 min fix
sphinx-doc__sphinx-8548,2020-12-17T13:46:32Z,1-4 hours
sphinx-doc__sphinx-8551,2020-12-19T09:34:31Z,15 min - 1 hour
sphinx-doc__sphinx-8593,2020-12-27T02:41:20Z,15 min - 1 hour
sphinx-doc__sphinx-8595,2020-12-27T03:07:50Z,<15 min fix
sphinx-doc__sphinx-8621,2020-12-30T12:13:09Z,<15 min fix
sphinx-doc__sphinx-8638,2021-01-01T13:54:38Z,15 min - 1 hour
sphinx-doc__sphinx-8721,2021-01-21T15:36:24Z,<15 min fix
sphinx-doc__sphinx-9229,2021-05-15T07:21:49Z,1-4 hours
sphinx-doc__sphinx-9230,2021-05-15T11:33:05Z,<15 min fix
