Challenge,Created_At,Difficulty,20250603_Refact_Agent_claude-4-sonnet,20250610_augment_agent_v1,20250611_moatless_claude-4-sonnet-20250514,20250612_trae,20250616_Skywork-SWE-32B,20250616_Skywork-SWE-32B+TTS_Bo8,20250623_warp,20250627_agentless_MCTS-Refine-7B,20250629_deepswerl_r2eagent,20250629_deepswerl_r2eagent_tts
django__django-11790,2019-09-17T14:33:44Z,15 min - 1 hour,0,0,0,0,0,1,0,0,1,0
django__django-11815,2019-09-24T21:45:36Z,15 min - 1 hour,1,0,0,1,0,1,1,0,1,1
django__django-11848,2019-09-28T04:28:22Z,15 min - 1 hour,1,0,0,0,0,0,0,1,1,0
django__django-11999,2019-10-31T10:39:18Z,15 min - 1 hour,1,1,1,1,1,1,0,1,1,1
django__django-12039,2019-11-06T21:14:34Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,0
django__django-12050,2019-11-10T08:53:45Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-12143,2019-11-25T14:38:30Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-12155,2019-11-28T16:24:23Z,15 min - 1 hour,1,1,1,1,1,1,1,1,0,1
django__django-12262,2019-12-30T13:13:59Z,15 min - 1 hour,1,1,1,1,1,0,1,0,1,1
django__django-12273,2020-01-03T18:47:56Z,15 min - 1 hour,0,0,0,1,0,0,0,0,0,1
django__django-12406,2020-02-02T16:34:05Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-12663,2020-04-04T18:58:49Z,15 min - 1 hour,1,1,0,1,0,0,0,0,0,0
django__django-12713,2020-04-13T23:57:12Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-12754,2020-04-19T10:59:30Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
django__django-12774,2020-04-22T11:02:30Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
django__django-12858,2020-05-05T04:49:02Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
django__django-12965,2020-05-24T13:20:03Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,0
django__django-13012,2020-06-02T21:19:37Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,0
django__django-13028,2020-06-05T19:49:04Z,15 min - 1 hour,1,1,1,1,0,1,1,1,1,1
django__django-13033,2020-06-07T14:52:19Z,15 min - 1 hour,1,1,1,1,0,0,1,1,0,0
django__django-13121,2020-06-29T09:04:15Z,15 min - 1 hour,1,1,1,1,1,0,1,0,0,1
django__django-13158,2020-07-06T19:18:11Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,0
django__django-13195,2020-07-15T11:00:07Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-13279,2020-08-07T05:15:16Z,15 min - 1 hour,1,1,1,1,1,0,1,0,0,1
django__django-13315,2020-08-17T04:24:39Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,0
django__django-13343,2020-08-24T19:29:12Z,15 min - 1 hour,1,1,1,1,1,0,1,0,0,1
django__django-13346,2020-08-25T06:25:31Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
django__django-13401,2020-09-09T11:19:00Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,0
django__django-13513,2020-10-08T14:07:33Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-13516,2020-10-08T19:00:01Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
django__django-13568,2020-10-19T15:20:08Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
django__django-13569,2020-10-19T21:20:55Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-13590,2020-10-23T09:34:55Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
django__django-13658,2020-11-09T20:50:28Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
django__django-13670,2020-11-12T11:45:51Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-13786,2020-12-17T21:10:10Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-13809,2020-12-24T15:31:35Z,15 min - 1 hour,1,1,1,1,1,1,0,0,0,1
django__django-13810,2020-12-26T12:31:18Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-13820,2020-12-28T22:07:57Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
django__django-13925,2021-01-21T08:08:55Z,15 min - 1 hour,0,1,1,1,0,0,0,0,0,0
django__django-13964,2021-02-02T17:07:43Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
django__django-14017,2021-02-18T13:05:27Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,0
django__django-14034,2021-02-22T19:32:50Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-14053,2021-02-25T23:57:27Z,15 min - 1 hour,1,1,1,1,0,1,1,1,0,1
django__django-14122,2021-03-13T19:57:16Z,15 min - 1 hour,1,0,1,1,0,1,1,0,1,1
django__django-14140,2021-03-17T11:37:55Z,15 min - 1 hour,0,0,0,0,0,1,0,0,0,0
django__django-14155,2021-03-19T15:44:25Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-14170,2021-03-23T08:53:41Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-14238,2021-04-08T10:41:31Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-14311,2021-04-25T02:54:34Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
django__django-14349,2021-05-04T20:10:27Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-14351,2021-05-05T03:50:44Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,0
django__django-14434,2021-05-23T12:27:14Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
django__django-14500,2021-06-08T05:08:08Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,0
django__django-14559,2021-06-26T05:38:46Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,0
django__django-14672,2021-07-20T10:47:34Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
django__django-14725,2021-08-01T21:24:36Z,15 min - 1 hour,0,0,0,0,0,0,1,0,0,0
django__django-14771,2021-08-15T07:26:17Z,15 min - 1 hour,1,0,1,1,0,0,0,0,0,0
django__django-15022,2021-10-24T17:48:28Z,15 min - 1 hour,1,1,0,1,0,0,1,0,1,1
django__django-15037,2021-10-30T15:21:38Z,15 min - 1 hour,1,1,1,1,1,0,1,0,1,1
django__django-15098,2021-11-17T21:30:07Z,15 min - 1 hour,1,0,0,0,0,0,0,0,0,0
django__django-15103,2021-11-19T15:57:54Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
django__django-15161,2021-12-06T09:06:13Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,0
django__django-15252,2021-12-28T15:51:06Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-15278,2022-01-03T20:01:32Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
django__django-15280,2022-01-04T11:16:35Z,15 min - 1 hour,0,0,0,1,0,0,0,0,0,0
django__django-15375,2022-01-28T14:48:03Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
django__django-15382,2022-02-01T18:29:41Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
django__django-15525,2022-03-18T10:39:26Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
django__django-15554,2022-03-29T10:12:46Z,15 min - 1 hour,0,0,1,1,0,0,1,0,0,0
django__django-15561,2022-04-01T18:29:04Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
django__django-15563,2022-04-06T02:48:01Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-15695,2022-05-16T07:58:51Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-15731,2022-05-24T12:30:05Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-15732,2022-05-24T12:58:31Z,15 min - 1 hour,0,1,0,0,0,0,1,0,0,0
django__django-15814,2022-07-03T19:10:56Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
django__django-15916,2022-08-04T18:59:18Z,15 min - 1 hour,1,1,0,0,0,0,0,0,0,0
django__django-15973,2022-08-19T18:10:02Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-16032,2022-09-06T09:54:57Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
django__django-16082,2022-09-21T18:49:40Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
django__django-16136,2022-09-29T11:47:50Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,0
django__django-16256,2022-11-04T14:26:44Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-16315,2022-11-22T09:44:54Z,15 min - 1 hour,1,1,1,1,1,0,1,0,0,0
django__django-16454,2023-01-15T09:23:24Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-16485,2023-01-18T22:03:52Z,15 min - 1 hour,1,1,1,1,0,1,1,1,1,1
django__django-16493,2023-01-20T18:29:25Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-16502,2023-01-26T09:21:31Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-16527,2023-02-05T22:05:00Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
django__django-16612,2023-03-02T19:06:12Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
django__django-16661,2023-03-18T09:26:58Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
django__django-16662,2023-03-18T18:07:18Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
django__django-16667,2023-03-20T21:32:53Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
django__django-16819,2023-05-01T15:20:04Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
django__django-16877,2023-05-19T23:11:10Z,15 min - 1 hour,1,0,1,1,0,0,0,0,0,0
django__django-16901,2023-05-30T05:08:34Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,1
django__django-16938,2023-06-03T11:18:11Z,15 min - 1 hour,0,0,0,1,0,0,0,0,0,0
django__django-16950,2023-06-06T19:58:48Z,15 min - 1 hour,1,0,1,1,0,0,0,0,0,0
django__django-17084,2023-07-17T16:54:19Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
django__django-7530,2016-11-08T17:27:19Z,15 min - 1 hour,1,1,1,1,1,1,1,1,0,0
matplotlib__matplotlib-14623,2019-06-25T14:01:17Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
matplotlib__matplotlib-20488,2021-06-23T03:05:05Z,15 min - 1 hour,0,0,0,0,0,0,1,0,0,1
matplotlib__matplotlib-20826,2021-08-11T06:23:50Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
matplotlib__matplotlib-21568,2021-11-08T18:41:08Z,15 min - 1 hour,0,0,0,0,0,0,1,0,0,0
matplotlib__matplotlib-22865,2022-04-20T15:15:11Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
matplotlib__matplotlib-22871,2022-04-21T13:10:50Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,0
matplotlib__matplotlib-23299,2022-06-18T01:34:39Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
matplotlib__matplotlib-23314,2022-06-21T02:41:34Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
matplotlib__matplotlib-23412,2022-07-11T01:41:11Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,1
matplotlib__matplotlib-24026,2022-09-28T02:45:01Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
matplotlib__matplotlib-24627,2022-12-05T00:05:54Z,15 min - 1 hour,1,1,1,0,0,0,1,1,1,1
matplotlib__matplotlib-24637,2022-12-06T03:42:05Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
matplotlib__matplotlib-24870,2023-01-02T20:37:49Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
matplotlib__matplotlib-24970,2023-01-13T14:23:39Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
matplotlib__matplotlib-25775,2023-04-26T21:26:46Z,15 min - 1 hour,1,1,1,1,0,1,0,0,1,1
matplotlib__matplotlib-25960,2023-05-23T21:58:53Z,15 min - 1 hour,0,0,0,1,0,0,0,0,0,0
matplotlib__matplotlib-26291,2023-07-12T04:29:07Z,15 min - 1 hour,1,1,1,1,0,0,1,1,0,0
matplotlib__matplotlib-26342,2023-07-18T10:06:19Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
matplotlib__matplotlib-26466,2023-08-07T19:30:22Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
mwaskom__seaborn-3069,2022-10-09T23:31:20Z,15 min - 1 hour,1,1,1,0,0,0,1,0,0,0
mwaskom__seaborn-3187,2022-12-18T00:04:22Z,15 min - 1 hour,1,0,0,1,0,0,0,0,0,0
psf__requests-2931,2015-12-16T14:57:00Z,15 min - 1 hour,1,1,0,0,0,0,1,0,0,0
psf__requests-6028,2022-01-04T15:32:52Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
pydata__xarray-2905,2019-04-17T21:52:37Z,15 min - 1 hour,1,0,1,1,0,1,1,0,1,1
pydata__xarray-3095,2019-07-11T13:16:16Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
pydata__xarray-3151,2019-07-20T12:31:14Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
pydata__xarray-3305,2019-09-12T19:27:14Z,15 min - 1 hour,1,0,1,1,0,1,1,0,1,1
pydata__xarray-3677,2020-01-09T16:07:14Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
pydata__xarray-4687,2020-12-13T20:42:40Z,15 min - 1 hour,0,0,1,1,0,0,0,0,0,0
pydata__xarray-4695,2020-12-15T00:30:04Z,15 min - 1 hour,1,0,1,1,0,1,1,0,0,1
pydata__xarray-4966,2021-02-26T12:05:51Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
pydata__xarray-6599,2022-05-12T15:12:41Z,15 min - 1 hour,0,0,0,0,0,0,0,1,1,1
pydata__xarray-6721,2022-06-24T18:45:45Z,15 min - 1 hour,1,0,0,1,0,1,1,1,0,1
pydata__xarray-6744,2022-07-02T16:36:00Z,15 min - 1 hour,1,0,1,1,0,0,1,0,0,0
pydata__xarray-6938,2022-08-20T16:45:22Z,15 min - 1 hour,1,0,0,1,0,0,0,0,0,1
pydata__xarray-7229,2022-10-26T21:45:01Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
pydata__xarray-7233,2022-10-27T23:46:49Z,15 min - 1 hour,1,1,1,1,0,1,1,1,1,1
pydata__xarray-7393,2022-12-20T04:34:24Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
pylint-dev__pylint-4604,2021-06-22T10:44:14Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
pylint-dev__pylint-4661,2021-07-03T00:57:06Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
pylint-dev__pylint-6386,2022-04-19T06:34:57Z,15 min - 1 hour,1,0,1,1,0,0,1,0,0,0
pylint-dev__pylint-6528,2022-05-06T21:03:37Z,15 min - 1 hour,1,1,1,0,0,1,1,0,0,0
pylint-dev__pylint-7080,2022-06-28T17:24:43Z,15 min - 1 hour,1,0,1,0,0,0,1,0,0,0
pytest-dev__pytest-10051,2022-06-15T17:39:53Z,15 min - 1 hour,0,0,0,1,0,0,1,0,0,1
pytest-dev__pytest-5631,2019-07-19T20:13:12Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
pytest-dev__pytest-5840,2019-09-12T01:09:28Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
pytest-dev__pytest-7236,2020-05-21T19:53:14Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
pytest-dev__pytest-7324,2020-06-05T13:00:07Z,15 min - 1 hour,1,1,0,1,0,0,1,0,1,0
pytest-dev__pytest-7490,2020-07-13T22:20:10Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,1
pytest-dev__pytest-7571,2020-07-29T12:00:47Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
pytest-dev__pytest-8399,2021-03-04T17:52:17Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-10297,2017-12-12T22:07:47Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-10844,2018-03-21T00:16:18Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-10908,2018-04-03T03:50:46Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
scikit-learn__scikit-learn-11578,2018-07-16T23:21:56Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-12682,2018-11-27T08:30:51Z,15 min - 1 hour,1,1,1,1,1,0,1,0,0,0
scikit-learn__scikit-learn-12973,2019-01-13T16:19:52Z,15 min - 1 hour,0,1,1,1,1,0,1,0,0,0
scikit-learn__scikit-learn-13124,2019-02-09T02:15:23Z,15 min - 1 hour,0,1,0,1,0,0,0,0,0,1
scikit-learn__scikit-learn-14053,2019-06-09T15:36:55Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-14087,2019-06-13T20:09:22Z,15 min - 1 hour,1,1,1,1,0,0,1,1,0,0
scikit-learn__scikit-learn-14629,2019-08-12T09:31:54Z,15 min - 1 hour,0,1,0,1,0,0,0,0,0,0
scikit-learn__scikit-learn-14710,2019-08-21T16:29:47Z,15 min - 1 hour,1,0,1,1,1,1,1,1,0,0
scikit-learn__scikit-learn-14894,2019-09-05T17:41:11Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-15100,2019-09-26T19:21:38Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
scikit-learn__scikit-learn-25747,2023-03-02T20:38:47Z,15 min - 1 hour,0,0,0,1,0,1,0,1,0,0
scikit-learn__scikit-learn-25931,2023-03-22T00:34:47Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,1
scikit-learn__scikit-learn-26194,2023-04-17T16:33:08Z,15 min - 1 hour,0,0,0,0,0,0,0,1,0,0
scikit-learn__scikit-learn-26323,2023-05-04T11:55:50Z,15 min - 1 hour,1,1,1,1,0,1,1,1,1,1
scikit-learn__scikit-learn-9288,2017-07-06T11:03:14Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
sphinx-doc__sphinx-10466,2022-05-22T16:46:53Z,15 min - 1 hour,1,1,1,1,0,0,1,1,1,1
sphinx-doc__sphinx-10614,2022-06-29T14:29:04Z,15 min - 1 hour,0,0,0,0,0,0,0,1,0,0
sphinx-doc__sphinx-10673,2022-07-16T19:29:29Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,0
sphinx-doc__sphinx-11445,2023-05-28T19:15:07Z,15 min - 1 hour,1,0,1,1,0,0,1,0,1,1
sphinx-doc__sphinx-7748,2020-05-30T06:41:07Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-7757,2020-05-30T14:46:01Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
sphinx-doc__sphinx-7985,2020-07-19T10:09:07Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-8035,2020-08-01T16:28:05Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
sphinx-doc__sphinx-8056,2020-08-05T17:18:58Z,15 min - 1 hour,0,0,0,0,0,0,1,0,0,0
sphinx-doc__sphinx-8120,2020-08-14T07:23:34Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
sphinx-doc__sphinx-8265,2020-10-03T03:06:00Z,15 min - 1 hour,1,1,1,0,0,0,1,0,0,0
sphinx-doc__sphinx-8551,2020-12-19T09:34:31Z,15 min - 1 hour,1,1,0,0,0,0,1,0,1,1
sphinx-doc__sphinx-8593,2020-12-27T02:41:20Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
sphinx-doc__sphinx-8638,2021-01-01T13:54:38Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sphinx-doc__sphinx-9602,2021-09-01T17:26:58Z,15 min - 1 hour,0,0,0,1,0,0,0,0,0,0
sphinx-doc__sphinx-9658,2021-09-20T17:04:23Z,15 min - 1 hour,1,1,1,1,0,0,0,0,0,0
sphinx-doc__sphinx-9673,2021-09-25T15:53:46Z,15 min - 1 hour,1,1,1,1,1,1,1,1,0,1
sympy__sympy-11618,2016-09-15T20:01:58Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
sympy__sympy-12419,2017-03-25T15:02:26Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
sympy__sympy-13031,2017-07-23T15:48:13Z,15 min - 1 hour,1,1,0,1,0,1,0,0,0,0
sympy__sympy-13091,2017-08-05T08:04:32Z,15 min - 1 hour,0,1,0,1,0,0,0,0,0,0
sympy__sympy-13551,2017-10-29T20:51:01Z,15 min - 1 hour,1,1,1,0,0,0,0,1,1,1
sympy__sympy-13615,2017-11-17T08:59:51Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
sympy__sympy-13647,2017-11-28T21:22:51Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
sympy__sympy-13757,2017-12-17T11:08:44Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
sympy__sympy-13798,2017-12-26T18:12:43Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sympy__sympy-13877,2018-01-10T01:55:34Z,15 min - 1 hour,0,0,1,0,0,0,0,0,0,1
sympy__sympy-13974,2018-01-20T18:25:59Z,15 min - 1 hour,1,0,1,0,0,0,0,0,0,0
sympy__sympy-14531,2018-03-18T18:15:33Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
sympy__sympy-14976,2018-07-25T17:38:07Z,15 min - 1 hour,0,1,1,1,0,0,0,0,0,1
sympy__sympy-15349,2018-10-06T19:45:27Z,15 min - 1 hour,1,1,1,1,0,0,1,1,1,1
sympy__sympy-15599,2018-12-06T17:45:49Z,15 min - 1 hour,1,1,1,1,0,0,0,0,0,0
sympy__sympy-15976,2019-02-13T15:02:37Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,0
sympy__sympy-16792,2019-05-09T03:40:54Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
sympy__sympy-17318,2019-08-01T11:55:36Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sympy__sympy-18211,2020-01-03T06:39:19Z,15 min - 1 hour,0,1,1,1,0,1,1,0,0,1
sympy__sympy-18698,2020-02-21T05:46:56Z,15 min - 1 hour,1,1,0,1,0,0,1,0,0,0
sympy__sympy-19040,2020-03-31T19:53:54Z,15 min - 1 hour,1,1,0,1,0,0,1,0,0,0
sympy__sympy-19346,2020-05-17T12:23:33Z,15 min - 1 hour,1,1,1,1,1,0,1,0,1,1
sympy__sympy-19783,2020-07-16T09:40:38Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
sympy__sympy-20154,2020-09-26T22:49:04Z,15 min - 1 hour,1,1,1,1,1,0,1,0,0,1
sympy__sympy-20428,2020-11-14T05:56:31Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sympy__sympy-20438,2020-11-17T08:24:33Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sympy__sympy-20590,2020-12-12T18:18:38Z,15 min - 1 hour,1,1,1,1,0,0,1,0,1,1
sympy__sympy-20801,2021-01-15T02:01:23Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,0
